uuid;name;duration;size;video_quality;stream_link
6668d834-abda-4394-adaa-6fa585973bde;BOUYGUES_AMAZON_15S_SKIPABLE_STT;15;24266681;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/6668d834-abda-4394-adaa-6fa585973bde_bouygues-amazon-15s-skipable-stt.mp4
d1da0342-7b30-4db2-aee9-98205c88622a;ASWAN_Social_PAID_IT_16-9 -(07.04);20;24302833;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/d1da0342-7b30-4db2-aee9-98205c88622a_aswan-social-paid-it-16-9-07-04.mp4
505098a2-2b7e-40ec-a3da-f1bfee0fc08d;Oney PP - Short (1);23;24332486;1280x720;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/505098a2-2b7e-40ec-a3da-f1bfee0fc08d_oney-pp-short-1.mp4
ff3c9fd3-6082-4cd5-a238-e882b288e7fb;Script 07 - Changement de maillot;15;24389589;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/ff3c9fd3-6082-4cd5-a238-e882b288e7fb_script-07-changement-de-maillot.mp4
4a5f6f4e-7910-4b3f-8846-2e7ea142fae6;sw-skin-mattel-15s;15;24491273;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4a5f6f4e-7910-4b3f-8846-2e7ea142fae6_sw-skin-mattel-15s.mp4
4f7c2ecb-a21e-43eb-8732-8f058c8ac73f;Stream-accueil-fr_V01;24;24526822;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4f7c2ecb-a21e-43eb-8732-8f058c8ac73f_stream-accueil-fr-v01.mp4
bd8ecec2-6f55-4569-a8cb-4e9127dc9acc;USE CASE Num3 - marked_2022-03-02_Carrefour_FTV 2;30;24851741;1280x720;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-staging/bd8ecec2-6f55-4569-a8cb-4e9127dc9acc_use-case-num3-marked-2022-03-02-carrefour-ftv-2.mp4
5b0ea940-0a37-4ec7-a4ef-be5dcb354ec3;FRANCK_DEF_TEASER_16-9;14;24928723;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/5b0ea940-0a37-4ec7-a4ef-be5dcb354ec3_franck-def-teaser-16-9.mp4
79dac15e-1835-44bb-b64e-b1d72f9c2c2b;IKARIA_PAID_ES_16-9 (07.04);20;25129156;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/79dac15e-1835-44bb-b64e-b1d72f9c2c2b_ikaria-paid-es-16-9-07-04.mp4
cf81f5ac-9cbd-42d7-9259-7803e15515ba;IKARIA_PAID_IT_16-9 (07.04);20;25156774;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/cf81f5ac-9cbd-42d7-9259-7803e15515ba_ikaria-paid-it-16-9-07-04.mp4
46f5863e-f896-4a27-94ea-8198678f5052;AESIO_MUTUALISME_20s_PROG;20;25253395;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/46f5863e-f896-4a27-94ea-8198678f5052_aesio-mutualisme-20s-prog.mp4
5e059b0b-bd60-4fb4-9709-681f430ae407;H&S_20s_TAG_FR_ISP;20;25380902;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/5e059b0b-bd60-4fb4-9709-681f430ae407_h-s-20s-tag-fr-isp.mp4
f867eb34-39d3-4854-a1ec-76d32d2a2f45;phphclGJs;38;25440297;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/f867eb34-39d3-4854-a1ec-76d32d2a2f45_phphclgjs.mp4
b62e6aeb-a78a-4ac2-a2b1-23e7fb6fd2b4;H_S_20s_Main_FR_ISP_SSTitres;20;25474804;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/b62e6aeb-a78a-4ac2-a2b1-23e7fb6fd2b4_h-s-20s-main-fr-isp-sstitres.mp4
dafc6c17-2be9-47cc-9578-9819825499fb;AESIO_TNS_20s_PROG;20;25629696;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/dafc6c17-2be9-47cc-9578-9819825499fb_aesio-tns-20s-prog.mp4
4a1b6c16-ce40-43cc-ab0f-7a93a1537e18;APICIL - Spot 20s - WEB REPLAY - TF1 - IPTV;20;25754641;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4a1b6c16-ce40-43cc-ab0f-7a93a1537e18_apicil-spot-20s-web-replay-tf1-iptv.mp4
0bb625b3-f6e1-48b1-b0b4-9f22fcb257fa;php0C2kDp;20;25776629;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/0bb625b3-f6e1-48b1-b0b4-9f22fcb257fa_php0c2kdp.mp4
45e27375-3342-4760-8eb2-44054ffca17a;php9LcObL;22;25794329;1280x720;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/45e27375-3342-4760-8eb2-44054ffca17a_php9lcobl.mp4
3101bb55-04f2-46f1-8f1c-ea7e8ca178ee;H_S_20s_Dandruff_Thriller_FR_ISP_SSTitres;20;25819487;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/3101bb55-04f2-46f1-8f1c-ea7e8ca178ee_h-s-20s-dandruff-thriller-fr-isp-sstitres.mp4
68e02c04-aeea-4854-b680-2a3e8c360144;Script 04 - Face Cam Dilemme;14;25865741;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/68e02c04-aeea-4854-b680-2a3e8c360144_script-04-face-cam-dilemme.mp4
b1860a50-7ecc-4382-8f5b-2a8080b3bb63;php18l02R;22;25982536;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/b1860a50-7ecc-4382-8f5b-2a8080b3bb63_php18l02r.mp4
f7c8059d-3fde-4e53-8ede-d29ca2b430c5;php0xwblU;22;26020637;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/f7c8059d-3fde-4e53-8ede-d29ca2b430c5_php0xwblu.mp4
4fb4b3f7-3528-4c8e-9bfb-2c3036a03754;Itmfid_Master_1920x1080_30s_VF_avec ST;30;26031061;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4fb4b3f7-3528-4c8e-9bfb-2c3036a03754_itmfid-master-1920x1080-30s-vf-avec-st.mp4
b7f15ffd-a051-4750-aa66-c4daa882b1ba;phpNrEPia;22;26061724;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/b7f15ffd-a051-4750-aa66-c4daa882b1ba_phpnrepia.mp4
ec9874f4-0af0-422b-be48-9177ccdb0bf0;phpXkxCSx;22;26062919;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/ec9874f4-0af0-422b-be48-9177ccdb0bf0_phpxkxcsx.mp4
